frequency_hz,amplitude
0.000000000000000000e+00,5.698552740796003030e-17
1.000000000000000056e-01,7.143768530977122506e-03
2.000000000000000111e-01,1.378137945020124072e-02
3.000000000000000444e-01,6.967877188035305133e-03
4.000000000000000222e-01,2.059141745563222714e-03
5.000000000000000000e-01,4.547664713554256354e-03
6.000000000000000888e-01,3.703285904410051795e-03
7.000000000000000666e-01,4.338807563197748067e-03
8.000000000000000444e-01,4.493385434286093112e-03
9.000000000000000222e-01,2.038907864499088594e-03
1.000000000000000000e+00,8.410683037579301177e-03
1.100000000000000089e+00,3.509030560656622045e-03
1.200000000000000178e+00,5.539314870253133488e-03
1.300000000000000044e+00,6.679184984019078362e-03
1.400000000000000133e+00,6.257960186896650845e-03
1.500000000000000000e+00,2.444682034884980860e-03
1.600000000000000089e+00,1.020092553080273641e-02
1.700000000000000178e+00,3.500847877917154412e-03
1.800000000000000044e+00,4.809832504548502800e-03
1.900000000000000133e+00,5.337186305652040844e-03
2.000000000000000000e+00,1.495898015268041668e-03
2.100000000000000089e+00,1.482624995705646934e-03
2.200000000000000178e+00,5.736930104024025832e-03
2.300000000000000266e+00,5.455879139320250933e-03
2.400000000000000355e+00,3.680979477458117335e-03
2.500000000000000000e+00,5.759979116646963063e-03
2.600000000000000089e+00,3.115886148168275395e-03
2.700000000000000178e+00,6.170935870630540540e-03
2.800000000000000266e+00,6.418076732750127057e-03
2.900000000000000355e+00,6.841854635225458683e-03
3.000000000000000000e+00,1.007508563424306877e-02
3.100000000000000089e+00,1.732258863216949068e-03
3.200000000000000178e+00,5.855600656130498759e-03
3.300000000000000266e+00,6.475720231596189189e-03
3.400000000000000355e+00,3.563454582946226201e-03
3.500000000000000000e+00,6.530743509162779091e-03
3.600000000000000089e+00,9.371150818166688878e-03
3.700000000000000178e+00,8.198903557240084378e-03
3.800000000000000266e+00,5.266760673949186060e-03
3.900000000000000355e+00,1.665100551561243163e-03
4.000000000000000000e+00,1.428343459105378384e-03
4.100000000000000533e+00,5.956886213841341982e-03
4.200000000000000178e+00,7.300413793987246130e-03
4.299999999999999822e+00,9.508501794715951833e-03
4.400000000000000355e+00,2.193023022657416415e-03
4.500000000000000000e+00,3.643689852175714845e-03
4.600000000000000533e+00,6.075292627138676859e-04
4.700000000000000178e+00,7.081728959391636255e-03
4.800000000000000711e+00,5.880878877746778012e-03
4.900000000000000355e+00,5.561124189675767035e-03
5.000000000000000000e+00,1.804244872109107356e-03
5.100000000000000533e+00,2.127682818379559963e-03
5.200000000000000178e+00,2.241163459113344140e-03
5.300000000000000711e+00,2.987143551359624019e-03
5.400000000000000355e+00,5.348789480642868882e-03
5.500000000000000000e+00,5.899924356749916901e-03
5.600000000000000533e+00,5.288087614722188426e-03
5.700000000000000178e+00,4.258774407495537206e-03
5.800000000000000711e+00,4.359021956422653998e-03
5.900000000000000355e+00,5.638981655148283222e-03
6.000000000000000000e+00,4.737621563131087787e-03
6.100000000000000533e+00,4.614737921321043594e-03
6.200000000000000178e+00,4.458732098556837144e-03
6.300000000000000711e+00,6.524455111945169465e-03
6.400000000000000355e+00,2.807439530308558900e-03
6.500000000000000000e+00,3.888514328322327258e-03
6.600000000000000533e+00,9.087916429671726720e-03
6.700000000000000178e+00,2.118343713426292397e-03
6.800000000000000711e+00,1.261397875728408231e-02
6.900000000000000355e+00,2.891810341316047341e-03
7.000000000000000000e+00,2.765160661394476527e-03
7.100000000000000533e+00,1.215900058129015283e-03
7.200000000000000178e+00,2.858450110554946934e-03
7.300000000000000711e+00,3.368656981288770981e-03
7.400000000000000355e+00,2.350794571673759346e-03
7.500000000000000000e+00,4.511174876959542918e-03
7.600000000000000533e+00,5.701480361295948977e-03
7.700000000000000178e+00,4.959126928947282277e-03
7.800000000000000711e+00,4.992938345740890495e-03
7.900000000000000355e+00,4.152725771688828629e-03
8.000000000000000000e+00,9.935990412845345596e-04
8.099999999999999645e+00,4.420578216681327922e-03
8.200000000000001066e+00,3.774056304491792482e-03
8.300000000000000711e+00,8.464239502848790522e-03
8.400000000000000355e+00,5.624854368821620258e-03
8.500000000000000000e+00,5.895734056476446480e-03
8.599999999999999645e+00,3.945491072357956187e-03
8.700000000000001066e+00,5.358677380691524370e-03
8.800000000000000711e+00,1.796179634371234757e-03
8.900000000000000355e+00,3.940640894111844053e-03
9.000000000000000000e+00,4.034819056809869561e-03
9.099999999999999645e+00,8.425786993057481512e-04
9.200000000000001066e+00,7.206311402064216089e-03
9.300000000000000711e+00,1.486889294984967795e-03
9.400000000000000355e+00,3.837002594869764506e-03
9.500000000000000000e+00,6.031517316859782464e-03
9.600000000000001421e+00,1.180913854407048165e-02
9.700000000000001066e+00,5.644696763020048448e-03
9.800000000000000711e+00,6.924107938820808078e-03
9.900000000000000355e+00,5.185209394041295772e-03
1.000000000000000000e+01,4.350347567970891741e-03
1.010000000000000142e+01,3.326471999794824736e-03
1.020000000000000107e+01,5.434091950460122333e-03
1.030000000000000071e+01,4.500654604809975305e-03
1.040000000000000036e+01,6.723764503670919337e-03
1.050000000000000000e+01,3.173450857549795791e-04
1.060000000000000142e+01,2.484027553571301408e-03
1.070000000000000107e+01,6.330675005746754652e-03
1.080000000000000071e+01,5.196056386129211183e-03
1.090000000000000036e+01,1.436862482929333580e-03
1.100000000000000000e+01,9.767258487748632298e-03
1.110000000000000142e+01,1.697664508179446644e-03
1.120000000000000107e+01,2.810982096138116195e-03
1.130000000000000071e+01,5.560827999676020740e-03
1.140000000000000036e+01,4.186183457020520825e-03
1.150000000000000000e+01,4.788341916838641243e-03
1.160000000000000142e+01,5.386793332819862778e-03
1.170000000000000107e+01,6.315487830903782247e-03
1.180000000000000071e+01,2.974847266751062293e-03
1.190000000000000036e+01,2.378613301510522620e-03
1.200000000000000000e+01,8.113727758700967768e-03
1.210000000000000142e+01,8.427272134239506204e-03
1.220000000000000107e+01,2.765732800250305171e-03
1.230000000000000071e+01,1.721980809024591368e-03
1.240000000000000036e+01,3.040140551098308684e-03
1.250000000000000000e+01,2.159037759779462370e-03
1.260000000000000142e+01,2.165040816380722159e-03
1.270000000000000107e+01,8.983934866282215076e-03
1.280000000000000071e+01,5.287928211925130122e-03
1.290000000000000036e+01,2.015419186794105422e-03
1.300000000000000000e+01,7.013521906809569266e-03
1.310000000000000142e+01,2.429887006976981425e-03
1.320000000000000107e+01,5.784550259670199687e-03
1.330000000000000071e+01,3.809064978269253391e-03
1.340000000000000036e+01,2.328658818199163746e-03
1.350000000000000000e+01,7.045945032200680996e-03
1.360000000000000142e+01,6.868239352952874334e-03
1.370000000000000107e+01,5.649058509367005376e-03
1.380000000000000071e+01,4.525263931402598132e-03
1.390000000000000036e+01,3.868501920601394913e-03
1.400000000000000000e+01,3.965069289159051623e-03
1.410000000000000142e+01,4.612685770526398811e-03
1.420000000000000107e+01,2.231816469239250936e-03
1.430000000000000071e+01,6.811546792099684375e-03
1.440000000000000036e+01,2.315835936148802603e-03
1.450000000000000000e+01,5.149969608863813435e-03
1.460000000000000142e+01,4.712280876743323889e-03
1.470000000000000107e+01,2.392125151214524129e-03
1.480000000000000071e+01,6.210231572871838593e-03
1.490000000000000036e+01,3.193198875540690686e-03
1.500000000000000000e+01,5.212090628300029144e-03
1.510000000000000142e+01,7.317486643425657154e-03
1.520000000000000107e+01,3.650493332030765609e-03
1.530000000000000071e+01,4.733392298472588987e-03
1.540000000000000036e+01,5.435575254552143035e-03
1.550000000000000000e+01,2.421149203474090052e-03
