frequency_hz,amplitude
0.000000000000000000e+00,2.029469903629954066e-04
1.000000000000000056e-01,7.069993055249988723e-03
2.000000000000000111e-01,1.262643822032600942e-02
3.000000000000000444e-01,9.582797112457040745e-03
4.000000000000000222e-01,7.849911029301998109e-04
5.000000000000000000e-01,3.489361034285727754e-03
6.000000000000000888e-01,2.696907815486716039e-03
7.000000000000000666e-01,2.288205281308719127e-03
8.000000000000000444e-01,2.207299476221029864e-03
9.000000000000000222e-01,4.693951266555162517e-03
1.000000000000000000e+00,7.206902624818189648e-03
1.100000000000000089e+00,4.436006584501893217e-03
1.200000000000000178e+00,1.014016318730341128e-02
1.300000000000000044e+00,9.678168512583941452e-03
1.400000000000000133e+00,7.968730682476754187e-03
1.500000000000000000e+00,6.165330943598884041e-03
1.600000000000000089e+00,1.180556964216004923e-02
1.700000000000000178e+00,7.301508578883514865e-03
1.800000000000000044e+00,8.716375714693152046e-03
1.900000000000000133e+00,8.108437840656786827e-03
2.000000000000000000e+00,4.386025348427005990e-03
2.100000000000000089e+00,2.695743373646900757e-03
2.200000000000000178e+00,7.437996164551536997e-03
2.300000000000000266e+00,6.330214253864454438e-03
2.400000000000000355e+00,3.912142351538063813e-03
2.500000000000000000e+00,8.303117244399332852e-03
2.600000000000000089e+00,8.031020194428254572e-03
2.700000000000000178e+00,1.010897291010967938e-02
2.800000000000000266e+00,9.060995507402367158e-03
2.900000000000000355e+00,3.747324172644895569e-03
3.000000000000000000e+00,8.717532666781357617e-03
3.100000000000000089e+00,4.654855785240784131e-03
3.200000000000000178e+00,3.360945132911859635e-03
3.300000000000000266e+00,5.172610742436059908e-03
3.400000000000000355e+00,5.320239220037812668e-03
3.500000000000000000e+00,6.765341995097194985e-03
3.600000000000000089e+00,8.930292758873741021e-03
3.700000000000000178e+00,4.960029672606548930e-03
3.800000000000000266e+00,3.177493574543450994e-03
3.900000000000000355e+00,4.090886689043804827e-03
4.000000000000000000e+00,4.182554299378646659e-03
4.100000000000000533e+00,7.816324246292222222e-03
4.200000000000000178e+00,5.439282578400805694e-03
4.299999999999999822e+00,7.107570701547412731e-03
