frequency_hz,amplitude
0.000000000000000000e+00,1.301681603596039488e-02
1.000000000000000056e-01,4.558703314773813325e-02
2.000000000000000111e-01,9.294554995878659409e-02
3.000000000000000444e-01,1.118776290803188134e-01
4.000000000000000222e-01,1.064517287720790767e-01
5.000000000000000000e-01,1.340525367237697385e-01
6.000000000000000888e-01,7.367409182600864748e-02
7.000000000000000666e-01,7.540394112828877060e-02
8.000000000000000444e-01,1.273786739006912971e-01
9.000000000000000222e-01,1.002981315326724604e-01
1.000000000000000000e+00,1.355678001613718764e-01
1.100000000000000089e+00,1.650599633790267029e-01
1.200000000000000178e+00,9.834187840902280930e-02
1.300000000000000044e+00,5.396284539679756243e-02
1.400000000000000133e+00,4.996086235064428616e-02
1.500000000000000000e+00,5.583247054553918537e-02
1.600000000000000089e+00,7.913691951421404636e-02
1.700000000000000178e+00,6.828082168760825355e-02
1.800000000000000044e+00,2.680531057392237029e-02
1.900000000000000133e+00,3.358150120405849898e-02
2.000000000000000000e+00,6.532826924823757764e-02
2.100000000000000089e+00,7.036875928682330417e-02
2.200000000000000178e+00,7.409596096307015378e-02
2.300000000000000266e+00,1.050836401804089021e-01
2.400000000000000355e+00,1.000692365805335715e-01
2.500000000000000000e+00,8.377740541326913690e-03
2.600000000000000089e+00,7.030886226992516530e-02
2.700000000000000178e+00,1.160912083206373652e-01
2.800000000000000266e+00,4.514629697515291223e-02
2.900000000000000355e+00,6.206834749505791421e-02
3.000000000000000000e+00,1.380403234068142415e-01
3.100000000000000089e+00,1.007901947716037250e-01
3.200000000000000178e+00,3.545195417437744384e-02
3.300000000000000266e+00,8.598936389771161259e-02
3.400000000000000355e+00,1.105938396380298921e-01
3.500000000000000000e+00,1.066190452499580082e-01
3.600000000000000089e+00,5.707001794786618898e-02
3.700000000000000178e+00,1.060269797191606134e-01
3.800000000000000266e+00,1.024928183290434724e-01
3.900000000000000355e+00,1.598760936622576484e-02
4.000000000000000000e+00,7.834962208352523605e-02
4.100000000000000533e+00,1.247122685091760358e-01
4.200000000000000178e+00,9.442071142515073845e-02
4.299999999999999822e+00,2.197024664716367218e-02
4.400000000000000355e+00,3.780996392420810787e-02
4.500000000000000000e+00,7.769549416334178837e-02
4.600000000000000533e+00,9.273108139101300662e-02
4.700000000000000178e+00,2.776485713305360328e-02
4.800000000000000711e+00,1.022161786394059357e-01
4.900000000000000355e+00,1.181054707109082114e-01
5.000000000000000000e+00,6.991776069891685041e-02
5.100000000000000533e+00,3.649260933502534998e-02
5.200000000000000178e+00,3.051028628882397967e-02
5.300000000000000711e+00,2.064334179507596942e-02
5.400000000000000355e+00,1.102935353755466891e-01
5.500000000000000000e+00,5.122204912971630580e-02
5.600000000000000533e+00,1.041598214020220264e-01
5.700000000000000178e+00,1.229026657958904728e-01
5.800000000000000711e+00,4.412409157862064168e-02
5.900000000000000355e+00,1.363407456216699691e-03
6.000000000000000000e+00,4.039605966939366355e-02
6.100000000000000533e+00,1.023409702265786064e-01
6.200000000000000178e+00,6.925891465260716751e-02
6.300000000000000711e+00,3.543359051107886071e-02
6.400000000000000355e+00,4.523333306083800187e-02
6.500000000000000000e+00,1.584144590864898783e-01
6.600000000000000533e+00,1.711714769531266223e-01
6.700000000000000178e+00,1.341536160612908646e-01
6.800000000000000711e+00,1.518336328521273926e-01
6.900000000000000355e+00,1.033744276355809955e-01
7.000000000000000000e+00,5.397745444697424344e-02
7.100000000000000533e+00,7.142524303857913925e-02
7.200000000000000178e+00,5.103576420286179416e-02
7.300000000000000711e+00,4.183996714722899163e-02
7.400000000000000355e+00,1.623677554561128592e-03
7.500000000000000000e+00,1.023289037983271532e-02
7.600000000000000533e+00,6.082132800641022741e-02
7.700000000000000178e+00,8.131264821326503189e-02
7.800000000000000711e+00,9.726274253817189519e-02
7.900000000000000355e+00,5.705087218576705699e-02
8.000000000000000000e+00,1.918679314839625682e-03
8.099999999999999645e+00,1.477788229598937624e-02
8.200000000000001066e+00,7.800921009892400337e-02
8.300000000000000711e+00,6.002043138292288693e-02
8.400000000000000355e+00,3.595029500113136600e-02
8.500000000000000000e+00,1.672237868412437822e-02
8.599999999999999645e+00,7.385470770858221234e-02
8.700000000000001066e+00,6.729462287157329803e-02
8.800000000000000711e+00,7.899688501704159316e-02
8.900000000000000355e+00,1.105023176939655682e-01
9.000000000000000000e+00,1.671491270336890878e-01
9.099999999999999645e+00,1.909829734146119840e-01
9.200000000000001066e+00,1.846867420843928409e-01
